"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/04/2016","55","PM2.5","Gilroy","06-085-0002","AQS","6","36",".","55","9"
"07/05/2016","37","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","29",".","37","13"
"07/06/2016","32","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","29",".","32","16"
"07/07/2016","33","Ozone","San Martin","06-085-2006","AQS","6","33",".","32","16"
"07/08/2016","27","Ozone","Gilroy","06-085-0002","AQS","6","27",".","22","8"
"07/09/2016","24","Ozone","San Jose - Jackson","06-085-0005","AQS","5","24",".","14","8"
"07/10/2016","33","Ozone","San Martin","06-085-2006","AQS","5","33",".","22","13"
"07/11/2016","49","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","44",".","49","20"
"07/12/2016","38","PM2.5","Gilroy","06-085-0002","AQS","6","37",".","38","16"
"07/13/2016","49","Ozone","San Martin","06-085-2006","AQS","7","49",".","38","22"
"07/14/2016","61","Ozone","Los Gatos","06-085-1001","AQS","8","61",".","55","23"
"07/15/2016","39","Ozone","San Jose - Jackson","06-085-0005","AQS","8","39",".","37","19"
"07/16/2016","37","Ozone","San Jose - Jackson","06-085-0005","AQS","7","37",".","30","10"
"07/17/2016","28","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","27","10","28","7"
"07/18/2016","33","Ozone","Gilroy","06-085-0002","AQS","6","33",".","22","10"
"07/19/2016","40","Ozone","Gilroy","06-085-0002","AQS","6","40",".","18","13"
"07/20/2016","44","Ozone","Gilroy","06-085-0002","AQS","7","44","12","27","16"
"07/21/2016","42","Ozone","Gilroy","06-085-0002","AQS","6","42",".","25","13"
"07/22/2016","46","Ozone","Gilroy","06-085-0002","AQS","8","46",".","29","20"
"07/23/2016","71","Ozone","Gilroy","06-085-0002","AQS","9","71",".","48","19"
"07/24/2016","58","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","51",".","58","15"
"07/25/2016","67","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","51",".","67","21"
"07/26/2016","101","Ozone","San Martin","06-085-2006","AQS","9","101","19","55","27"
"07/27/2016","80","Ozone","Los Gatos","06-085-1001","AQS","9","80",".","49","25"
"07/28/2016","47","Ozone","Los Gatos","06-085-1001","AQS","8","47",".","37","20"
"07/29/2016","47","Ozone","Los Gatos","06-085-1001","AQS","6","47","14","33","21"
"07/30/2016","45","PM2.5","Gilroy","06-085-0002","AQS","6","38",".","45","13"
"07/31/2016","46","PM2.5","Gilroy","06-085-0002","AQS","6","38",".","46","11"
"08/01/2016","58","PM2.5","Gilroy","06-085-0002","AQS","6","43","17","58","18"
"08/02/2016","43","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","42",".","43","18"
"08/03/2016","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","6","42",".","52","21"
"08/04/2016","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","5","29",".","52","16"
"08/05/2016","30","Ozone","San Jose - Jackson","06-085-0005","AQS","6","30",".","24","12"
"08/06/2016","44","PM2.5","Gilroy","06-085-0002","AQS","5","31",".","44","11"
"08/07/2016","42","Ozone","San Martin","06-085-2006","AQS","5","42","16","40","12"
"08/08/2016","40","Ozone","San Martin","06-085-2006","AQS","5","40",".","38","18"
"08/09/2016","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","6","32",".","33","20"
"08/10/2016","51","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","41","18","51","17"
"08/11/2016","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","36",".","52","18"
"08/12/2016","47","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","47",".","47","22"
"08/13/2016","100","Ozone","Gilroy","06-085-0002","AQS","7","100","11","38","16"
"08/14/2016","54","Ozone","San Martin","06-085-2006","AQS","7","54",".","29","10"
"08/15/2016","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","34",".","38","16"
"08/16/2016","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","38","18","45","23"
"08/17/2016","45","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","43",".","45","21"
"08/18/2016","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","34",".","42","20"
"08/19/2016","51","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","36",".","51","19"
"08/20/2016","49","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","38",".","49","16"
"08/21/2016","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","38",".","38","10"
"08/22/2016","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","35","15","38","17"
"08/23/2016","38","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","35",".","38","19"
"08/24/2016","45","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","39",".","45","20"
"08/25/2016","46","PM2.5","San Jose - Jackson","06-085-0005","AQS","8","32","18","46","17"
"08/26/2016","32","Ozone","San Jose - Jackson","06-085-0005","AQS","8","32",".","29","15"
"08/27/2016","36","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","34",".","36","12"
"08/28/2016","39","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","39","14","39","13"
"08/29/2016","41","Ozone","Gilroy","06-085-0002","AQS","7","41",".","31","13"
"08/30/2016","34","Ozone","San Martin","06-085-2006","AQS","8","34",".","24","21"
"08/31/2016","33","Ozone","Gilroy","06-085-0002","AQS","6","33",".","25","12"
"09/01/2016","33","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","7","33",".","33","14"
"09/02/2016","60","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","34",".","60","17"
"09/03/2016","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","26",".","42","10"
"09/04/2016","35","PM2.5","San Jose - Jackson","06-085-0005","AQS","7","28",".","35","12"
"09/05/2016","52","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","8","42",".","52","14"
"09/06/2016","61","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","9","51","31","61","25"
"09/07/2016","64","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","64",".","64","31"
"09/08/2016","44","Ozone","San Martin","06-085-2006","AQS","9","44",".","43","21"
"09/09/2016","53","PM2.5","San Jose - Jackson","06-085-0005","AQS","9","47",".","53","24"
